,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8744,Sonny Weems,PHX,29,198.12,92.98636,Arkansas,USA,2008,2,39,43,2.5,1.2,1.1,-10.7,0.014,0.109,0.132,0.459,0.148,2015-16,
8745,Tony Allen,MEM,34,193.04,96.615096,Oklahoma State,USA,2004,1,25,64,8.4,4.6,1.1,-1.4,0.071,0.143,0.17,0.505,0.068,2015-16,
8746,Tony Snell,CHI,24,200.66,90.7184,New Mexico,USA,2013,1,20,64,5.3,3.1,1,4.5,0.016,0.132,0.137,0.478,0.07,2015-16,
8747,Zach LaVine,MIN,21,195.58,85.728888,UCLA,USA,2014,1,13,82,14,2.8,3.1,-5.5,0.014,0.1,0.233,0.548,0.187,2015-16,
8748,Xavier Munford,MEM,24,190.5,81.64656,Rhode Island,USA,Undrafted,Undrafted,Undrafted,14,5.7,2.2,1.6,-9.5,0.013,0.144,0.172,0.481,0.136,2015-16,
8749,Willie Reed,BKN,26,208.28,99.79024,Saint Louis,USA,Undrafted,Undrafted,Undrafted,39,4.7,3.1,0.3,-7.9,0.132,0.206,0.18,0.579,0.039,2015-16,
8750,Willie Cauley-Stein,SAC,22,213.36,108.86208,Kentucky,USA,2015,1,6,66,7,5.3,0.6,-2.7,0.105,0.166,0.133,0.588,0.038,2015-16,
8751,Will Barton,DEN,25,198.12,79.3786,Memphis,USA,2012,2,40,82,14.4,5.8,2.5,-3.5,0.028,0.202,0.231,0.535,0.147,2015-16,
8752,Wesley Matthews,DAL,29,195.58,99.79024,Marquette,USA,Undrafted,Undrafted,Undrafted,78,12.5,3.1,1.9,2.7,0.011,0.089,0.174,0.532,0.088,2015-16,
8753,Wesley Johnson,LAC,28,200.66,97.52228,Syracuse,USA,2010,1,4,80,6.9,3.1,0.6,3.3,0.024,0.137,0.157,0.513,0.045,2015-16,
8754,Wayne Ellington,BKN,28,193.04,90.7184,North Carolina,USA,2009,1,28,76,7.7,2.3,1.1,-10.6,0.013,0.107,0.176,0.498,0.082,2015-16,
8755,Vince Carter,MEM,39,198.12,99.79024,North Carolina,USA,1998,1,5,60,6.6,2.4,0.9,-3,0.033,0.132,0.181,0.52,0.089,2015-16,
8756,Victor Oladipo,ORL,24,193.04,95.25432,Indiana,USA,2013,1,2,72,16,4.8,3.9,-0.6,0.022,0.135,0.228,0.534,0.182,2015-16,
8757,Udonis Haslem,MIA,36,203.2,106.59412,Florida,USA,Undrafted,Undrafted,Undrafted,37,1.6,2,0.4,0,0.05,0.301,0.136,0.432,0.08,2015-16,
8758,Tyus Jones,MIN,20,187.96,88.45044,Duke,USA,2015,1,24,37,4.2,1.3,2.9,-10,0.014,0.083,0.159,0.45,0.278,2015-16,
8759,Tony Parker,SAS,34,187.96,83.91452,None,France,2001,1,28,72,11.9,2.4,5.3,10.6,0.01,0.089,0.214,0.546,0.294,2015-16,
8760,Tyson Chandler,PHX,33,215.9,108.86208,None,USA,2001,1,2,66,7.2,8.7,1,-12.6,0.116,0.272,0.128,0.606,0.064,2015-16,
8761,Tyler Zeller,BOS,26,213.36,114.758776,North Carolina,USA,2012,1,17,60,6.1,3,0.5,-3.4,0.091,0.168,0.23,0.539,0.073,2015-16,
8762,Tyler Johnson,MIA,24,193.04,84.368112,Fresno State,USA,Undrafted,Undrafted,Undrafted,36,8.7,3,2.2,2.4,0.038,0.104,0.172,0.579,0.151,2015-16,
8763,Tyler Hansbrough,CHA,30,205.74,113.398,North Carolina,USA,2009,1,13,44,2.4,2,0.2,-1.2,0.119,0.174,0.146,0.522,0.038,2015-16,
8764,Tyler Ennis,MIL,21,190.5,87.996848,Syracuse,Canada,2014,1,18,46,4.5,1.6,2.1,-5.5,0.023,0.108,0.173,0.51,0.225,2015-16,
8765,Ty Lawson,IND,28,180.34,88.45044,North Carolina,USA,2009,1,18,66,5.7,1.8,3.6,-6.2,0.019,0.072,0.147,0.476,0.251,2015-16,
8766,Troy Daniels,CHA,24,193.04,92.98636,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,43,5.6,1.3,0.5,-2.4,0.016,0.119,0.202,0.634,0.083,2015-16,
8767,Tristan Thompson,CLE,25,205.74,107.954896,Texas,Canada,2011,1,4,82,7.8,9,0.8,7.9,0.133,0.233,0.116,0.611,0.04,2015-16,
8768,Trey Lyles,UTA,20,208.28,106.140528,Kentucky,USA,2015,1,12,80,6.1,3.7,0.7,-0.9,0.048,0.203,0.183,0.517,0.072,2015-16,
8769,Trey Burke,UTA,23,185.42,86.636072,Michigan,USA,2013,1,9,64,10.6,1.8,2.3,-2,0.015,0.08,0.247,0.507,0.201,2015-16,
8770,Trevor Booker,UTA,28,203.2,103.418976,Clemson,USA,2010,1,23,79,5.9,5.7,1.1,1.6,0.119,0.202,0.144,0.533,0.083,2015-16,
8771,Trevor Ariza,HOU,31,203.2,97.52228,UCLA,USA,2004,2,43,81,12.7,4.5,2.3,0.4,0.026,0.119,0.158,0.551,0.1,2015-16,
